Wall time,Step,Value
1769435800.875022,16384,3.4700000286102295
1769435817.3457923,32768,3.2699999809265137
1769435834.0457587,49152,3.8499999046325684
1769435850.072927,65536,3.369999885559082
1769435866.4375775,81920,3.7799999713897705
1769435882.8452942,98304,3.8399999141693115
1769435898.6933403,114688,4.079999923706055
1769435915.062314,131072,4.050000190734863
1769435930.8601887,147456,4.550000190734863
1769435947.2973223,163840,5.119999885559082
1769435963.8500578,180224,5.300000190734863
1769435980.1275744,196608,5.03000020980835
1769435997.2093928,212992,5.190000057220459
1769436013.9975293,229376,4.869999885559082
1769436030.1916938,245760,5.420000076293945
1769436046.5180032,262144,4.880000114440918
