Wall time,Step,Value
1769441349.193228,16384,3.2200000286102295
1769441358.3116536,32768,3.5199999809265137
1769441367.2493515,49152,4.0
1769441376.2025828,65536,3.9200000762939453
1769441385.1639297,81920,4.800000190734863
1769441394.1329875,98304,5.429999828338623
1769441403.1918294,114688,5.559999942779541
1769441412.0764713,131072,7.71999979019165
1769441420.9686556,147456,8.739999771118164
1769441429.9187603,163840,9.109999656677246
1769441438.9333897,180224,8.699999809265137
1769441447.8579946,196608,12.220000267028809
1769441456.727523,212992,12.979999542236328
1769441465.6689205,229376,17.100000381469727
1769441474.566993,245760,18.850000381469727
1769441483.4937437,262144,22.34000015258789
