Wall time,Step,Value
1769427141.7717721,16384,3.130000114440918
1769427165.2306304,32768,3.1500000953674316
1769427206.2734115,49152,2.990000009536743
1769427226.990347,65536,2.4100000858306885
1769427238.426273,81920,2.799999952316284
1769427249.980739,98304,2.490000009536743
1769427261.6127396,114688,2.240000009536743
1769427273.3334212,131072,2.3499999046325684
1769427285.427149,147456,2.2200000286102295
1769429684.3223803,163840,1.940000057220459
1769429702.0532308,180224,1.9700000286102295
1769429719.4784296,196608,1.9299999475479126
1769429736.9501555,212992,1.9199999570846558
1769429754.584699,229376,1.9600000381469727
1769429770.892205,245760,1.75
1769429786.4974751,262144,1.8300000429153442
