Wall time,Step,Value
1769445119.6990936,32768,0.9970729351043701
1769445133.3004608,49152,0.9931524395942688
1769445146.836611,65536,0.9888525605201721
1769445166.8561175,81920,0.9841480851173401
1769445190.547419,98304,0.9794422388076782
1769445212.1980708,114688,0.9742913246154785
1769445234.7799196,131072,0.9693345427513123
1769445257.031504,147456,0.9636310338973999
1769445279.4286675,163840,0.9585156440734863
1769445301.9621673,180224,0.9522214531898499
1769445324.131163,196608,0.9469102621078491
1769445347.0267742,212992,0.9415761828422546
1769445369.9338965,229376,0.9358270764350891
1769445393.1404636,245760,0.9297220706939697
1769445416.3143365,262144,0.9247176647186279
