Wall time,Step,Value
1769451122.3034923,32768,0.9971747398376465
1769451146.7896535,49152,0.9938693046569824
1769451169.349586,65536,0.9898504614830017
1769451191.7513838,81920,0.9870208501815796
1769451214.896203,98304,0.9830227494239807
1769451238.241327,114688,0.9794359803199768
1769451260.232119,131072,0.9746783375740051
1769451282.6799269,147456,0.9695903062820435
1769451304.6614702,163840,0.9647740125656128
1769451327.4233308,180224,0.9608614444732666
1769451349.6706786,196608,0.9563246369361877
1769451372.0348299,212992,0.9507162570953369
1769451394.1156223,229376,0.9446265697479248
1769451416.6349823,245760,0.9382033348083496
1769451438.5001993,262144,0.9315968155860901
