Wall time,Step,Value
1769457000.4432397,16384,1.3600000143051147
1769457011.4870868,32768,1.3799999952316284
1769457023.0454423,49152,1.2400000095367432
1769457042.3165581,65536,1.340000033378601
1769457060.0722935,81920,1.3300000429153442
1769457078.4401343,98304,1.2899999618530273
1769457097.0541663,114688,1.3200000524520874
1769457115.5109758,131072,1.3200000524520874
1769457134.4389658,147456,1.399999976158142
1769457152.4948316,163840,1.2999999523162842
1769457170.7649488,180224,1.2699999809265137
1769457188.781926,196608,1.2799999713897705
1769457208.413013,212992,1.309999942779541
1769457227.981979,229376,1.3200000524520874
1769457247.2438846,245760,1.2400000095367432
1769457266.82838,262144,1.2799999713897705
