Wall time,Step,Value
1769451104.1014225,16384,1.409999966621399
1769451122.302491,32768,1.4500000476837158
1769451146.788653,49152,1.4500000476837158
1769451169.349586,65536,1.5199999809265137
1769451191.7503834,81920,1.4600000381469727
1769451214.8952339,98304,1.559999942779541
1769451238.241327,114688,1.5199999809265137
1769451260.2311184,131072,1.5399999618530273
1769451282.6799269,147456,1.6299999952316284
1769451304.6614702,163840,1.5
1769451327.4233308,180224,1.7100000381469727
1769451349.6706786,196608,1.7100000381469727
1769451372.0348299,212992,1.6699999570846558
1769451394.1156223,229376,1.9299999475479126
1769451416.6349823,245760,1.9800000190734863
1769451438.5001993,262144,1.9500000476837158
