Wall time,Step,Value
1769445106.1094773,16384,1.4700000286102295
1769445119.6990936,32768,1.399999976158142
1769445133.3004608,49152,1.3899999856948853
1769445146.8354933,65536,1.3799999952316284
1769445166.8561175,81920,1.5399999618530273
1769445190.547419,98304,1.559999942779541
1769445212.1970704,114688,1.659999966621399
1769445234.7789347,131072,1.600000023841858
1769445257.0305045,147456,1.6200000047683716
1769445279.4276676,163840,1.6299999952316284
1769445301.9611921,180224,1.8799999952316284
1769445324.131163,196608,1.7799999713897705
1769445347.0267742,212992,1.75
1769445369.9328945,229376,1.940000057220459
1769445393.1404636,245760,2.0899999141693115
1769445416.3143365,262144,2.180000066757202
