Wall time,Step,Value
1769441358.3116536,32768,0.9939590692520142
1769441367.2493515,49152,0.9851198196411133
1769441376.2034922,65536,0.9767147898674011
1769441385.1639297,81920,0.9669206738471985
1769441394.133889,98304,0.9567210078239441
1769441403.1918294,114688,0.9464678764343262
1769441412.0764713,131072,0.9348907470703125
1769441420.9686556,147456,0.9237709045410156
1769441429.9187603,163840,0.9132766723632812
1769441438.9343054,180224,0.9031100273132324
1769441447.8579946,196608,0.8904905319213867
1769441456.728426,212992,0.8799340128898621
1769441465.6689205,229376,0.8673876523971558
1769441474.566993,245760,0.8567072749137878
1769441483.4937437,262144,0.8448904752731323
