Wall time,Step,Value
1769435817.3457923,32768,0.9988819360733032
1769435834.0467274,49152,0.9968825578689575
1769435850.072927,65536,0.9954827427864075
1769435866.4375775,81920,0.9930721521377563
1769435882.8452942,98304,0.9917923212051392
1769435898.694308,114688,0.988862156867981
1769435915.062314,131072,0.9852532148361206
1769435930.8601887,147456,0.9833680987358093
1769435947.2973223,163840,0.9802667498588562
1769435963.8510559,180224,0.9768921136856079
1769435980.1285915,196608,0.9751566052436829
1769435997.2104046,212992,0.9720425605773926
1769436013.9975293,229376,0.9673903584480286
1769436030.1926956,245760,0.9657508134841919
1769436046.5180032,262144,0.9618275761604309
