Wall time,Step,Value
1769427165.231631,32768,1.005730390548706
1769427206.2734115,49152,1.0101513862609863
1769427226.9913344,65536,1.0153510570526123
1769427238.426273,81920,1.0179131031036377
1769427249.980739,98304,1.0205481052398682
1769427261.6127396,114688,1.0240504741668701
1769427273.3344219,131072,1.0262280702590942
1769427285.4281495,147456,1.028456449508667
1769429684.323382,163840,1.0293396711349487
1769429702.0532308,180224,1.029881477355957
1769429719.4784296,196608,1.030874252319336
1769429736.9501555,212992,1.030203104019165
1769429754.584699,229376,1.0304539203643799
1769429770.8931093,245760,1.0292634963989258
1769429786.4974751,262144,1.0296657085418701
